Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4200439458,4466438858,4586114125,4281868715,4156990760,4186223809,4291159006,4405954638,4563017881,4708336733
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1461859832,1699811359,1993408072,2067381766,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,7428701809,8650138069,10393834721,9290728773,10668102735,12172309523,12367363678,12953535496,13940768066,10950392220
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,9676410338,11515258634,..,..,..,..,..,..,..,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1.5384E+11,1.72566E+11,1.79663E+11,1.71413E+11,2.17105E+11,2.51225E+11,2.67176E+11,2.77239E+11,2.59405E+11,2.42497E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2.75213E+12,3.55034E+12,4.59431E+12,5.1017E+12,6.08716E+12,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,1.10616E+13
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1.61619E+11,2.06182E+11,2.42187E+11,2.32398E+11,2.86563E+11,3.34944E+11,3.70921E+11,3.82116E+11,3.81112E+11,2.93482E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,8072305415,8782703767,11649858744,9723300391,13148395202,15655384440,17692912613,17958721572,17912908766,11890259136
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,22715540324,26884700345,30801744881,30745712007,37658614803,42762617082,47231651863,50949672206,52016408951,56441917653
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,25281414473,28760092034,34078243426,33886814907,34936305297,36693712825,36302305578,42760237561,48843008580,45814637971
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,50915016294,60641942979,70943300079,63324394634,60672093865,63408294943,57369359295,59032066092,58423981441,50242783066
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656000000,87133000000
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,2933128492,3024525140,3039944134,3048435754,3042737430
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,20072786351,23968764030,27844698989,25945391775,25800247912,27642086581,25048659900,23961144906,23226782251,19909190059
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1.56264E+11,1.90184E+11,2.36816E+11,2.07434E+11,2.0907E+11,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,15999890000,17011750000,17986890000,17601620000,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,10086528699,13071718759,19749893536,15027795173,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,..,..,..,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,17022870405,22449129483,24341678629,19633031398,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3291353836,3469363996,3294093485,3580417067,4438778424,4820499924,4886533033,4597532030,4422968340,4063245671
